Time (s),Channel 1 (V)
-1.28,0.122617
-1.27805,0.0660397
-1.27609,-0.122886
-1.27414,-0.075739
-1.27219,0.12329
-1.27023,0.0923075
-1.26828,-0.118845
-1.26633,-0.0740552
-1.26438,0.126321
-1.26242,0.0721015
-1.26047,-0.120192
-1.25852,-0.074392
-1.25656,0.109819
-1.25461,0.0673868
-1.25266,-0.12457
-1.2507,-0.0548595
-1.24875,0.121943
-1.2468,0.0825413
-1.24484,-0.117498
-1.24289,-0.0740552
-1.24094,0.121269
-1.23898,0.0754692
-1.23703,-0.134673
-1.23508,-0.0727081
-1.23313,0.112514
-1.23117,0.0623353
-1.22922,-0.128611
-1.22727,-0.0841582
-1.22531,0.119586
-1.22336,0.0788368
-1.22141,-0.119182
-1.21945,-0.0774229
-1.2175,0.107799
-1.21555,0.0700809
-1.21359,-0.118845
-1.21164,-0.0666463
-1.20969,0.119586
-1.20773,0.0741221
-1.20578,-0.0969553
-1.20383,-0.0730449
-1.20188,0.120596
-1.19992,0.0761427
-1.19797,-0.119855
-1.19602,-0.085842
-1.19406,0.125311
-1.19211,0.0673868
-1.19016,-0.127938
-1.1882,-0.074392
-1.18625,0.110156
-1.1843,0.0673868
-1.18234,-0.125917
-1.18039,-0.0777596
-1.17844,0.123627
-1.17648,0.0603147
-1.17453,-0.126928
-1.17258,-0.0696772
-1.17063,0.113187
-1.16867,0.0683971
-1.16672,-0.117498
-1.16477,-0.0474506
-1.16281,0.109819
-1.16086,0.0923075
-1.15891,-0.132989
-1.15695,-0.074392
-1.155,0.109819
-1.15305,0.0889398
-1.15109,-0.133663
-1.14914,-0.070014
-1.14719,0.136761
-1.14523,0.0700809
-1.14328,-0.142082
-1.14133,-0.0710243
-1.13938,0.136424
-1.13742,0.0640191
-1.13547,-0.128948
-1.13352,-0.0676566
-1.13156,0.121269
-1.12961,0.0704177
-1.12766,-0.134673
-1.1257,-0.0780964
-1.12375,0.131709
-1.1218,0.0747956
-1.11984,-0.129958
-1.11789,-0.0713611
-1.11594,0.124637
-1.11398,0.072775
-1.11203,-0.120529
-1.11008,-0.0535124
-1.10813,0.123964
-1.10617,0.0643559
-1.10422,-0.132989
-1.10227,-0.0865156
-1.10031,0.123627
-1.09836,0.0677235
-1.09641,-0.127264
-1.09445,-0.0696772
-1.0925,0.130362
-1.09055,0.0717647
-1.08859,-0.130969
-1.08664,-0.0780964
-1.08469,0.129352
-1.08273,0.0704177
-1.08078,-0.12457
-1.07883,-0.0666463
-1.07688,0.142486
-1.07492,0.0653662
-1.07297,-0.122886
-1.07102,-0.0821376
-1.06906,0.131709
-1.06711,0.0677235
-1.06516,-0.121203
-1.0632,-0.0861788
-1.06125,0.124974
-1.0593,0.0811942
-1.05734,-0.121876
-1.05539,-0.0895465
-1.05344,0.117228
-1.05148,0.0707544
-1.04953,-0.137031
-1.04758,-0.0794435
-1.04563,0.112177
-1.04367,0.0650294
-1.04172,-0.125917
-1.03977,-0.0626051
-1.03781,0.123964
-1.03586,0.0394352
-1.03391,-0.111773
-1.03195,-0.0703508
-1.03,0.11184
-1.02805,0.0636823
-1.02609,-0.137367
-1.02414,-0.0716978
-1.02219,0.134403
-1.02023,0.0747956
-1.01828,-0.121876
-1.01633,-0.0733817
-1.01438,0.128342
-1.01242,0.0741221
-1.01047,-0.126591
-1.00852,-0.0774229
-1.00656,0.142823
-1.00461,0.0734486
-1.00266,-0.129622
-1.0007,-0.074392
-0.99875,0.149558
-0.996797,0.0791736
-0.994844,-0.144103
-0.992891,-0.0855053
-0.990938,0.133056
-0.988984,0.0875928
-0.987031,-0.118172
-0.985078,-0.0861788
-0.983125,0.13575
-0.981172,0.0700809
-0.979219,-0.13602
-0.977266,-0.0848317
-0.975313,0.125311
-0.973359,0.062672
-0.971406,-0.127938
-0.969453,-0.0716978
-0.9675,0.138445
-0.965547,0.0677235
-0.963594,-0.132989
-0.961641,-0.0646257
-0.959688,0.124637
-0.957734,0.0683971
-0.955781,-0.12356
-0.953828,-0.0770861
-0.951875,0.127331
-0.949922,0.0562735
-0.947969,-0.126928
-0.946016,-0.0663096
-0.944063,0.131372
-0.942109,0.061325
-0.940156,-0.121876
-0.938203,-0.0602478
-0.93625,0.13272
-0.934297,0.0539161
-0.932344,-0.126928
-0.930391,-0.074392
-0.928438,0.134403
-0.926484,0.061325
-0.924531,-0.129285
-0.922578,-0.070014
-0.920625,0.126321
-0.918672,0.0545896
-0.916719,-0.139388
-0.914766,-0.0673199
-0.912813,0.132046
-0.910859,0.071428
-0.908906,-0.130295
-0.906953,-0.065636
-0.905,0.130025
-0.903047,0.0687338
-0.901094,-0.140061
-0.899141,-0.0740552
-0.897188,0.132383
-0.895234,0.0424661
-0.893281,-0.13602
-0.891328,-0.0538492
-0.889375,0.126994
-0.887422,0.0495382
-0.885469,-0.13602
-0.883516,-0.0578904
-0.881563,0.12228
-0.879609,0.06705
-0.877656,-0.124907
-0.875703,-0.059911
-0.87375,0.135077
-0.871797,0.0525691
-0.869844,-0.105711
-0.867891,-0.0720346
-0.865938,0.124974
-0.863984,0.056947
-0.862031,-0.132653
-0.860078,-0.0646257
-0.858125,0.122953
-0.856172,0.0650294
-0.854219,-0.150501
-0.852266,-0.0639522
-0.850313,0.129689
-0.848359,0.0657029
-0.846406,-0.137031
-0.844453,-0.0881994
-0.8425,0.134403
-0.840547,0.0542529
-0.838594,-0.129622
-0.836641,-0.0723714
-0.834688,0.128678
-0.832734,0.0505485
-0.830781,-0.120529
-0.828828,-0.064289
-0.826875,0.121269
-0.824922,0.061325
-0.822969,-0.134336
-0.821016,-0.059911
-0.819063,0.132046
-0.817109,0.0623353
-0.815156,-0.120529
-0.813203,-0.0444197
-0.81125,0.132383
-0.809297,0.0643559
-0.807344,-0.13602
-0.805391,-0.0558698
-0.803438,0.131709
-0.801484,0.0731118
-0.799531,-0.121203
-0.797578,-0.0508183
-0.795625,0.127668
-0.793672,0.0555999
-0.791719,-0.137367
-0.789766,-0.0487977
-0.787813,0.131036
-0.785859,0.0606514
-0.783906,-0.126928
-0.781953,-0.0545227
-0.78,0.131709
-0.778047,0.056947
-0.776094,-0.141072
-0.774141,-0.064289
-0.772188,0.124974
-0.770234,0.0441499
-0.768281,-0.130969
-0.766328,-0.0562066
-0.764375,0.129352
-0.762422,0.0495382
-0.760469,-0.131642
-0.758516,-0.0622684
-0.756563,0.132046
-0.754609,0.0603147
-0.752656,-0.115141
-0.750703,-0.0423991
-0.74875,0.138108
-0.746797,0.062672
-0.744844,-0.128275
-0.742891,-0.0508183
-0.740938,0.132046
-0.738984,0.0407822
-0.737031,-0.116151
-0.735078,-0.0477874
-0.733125,0.131709
-0.731172,0.0603147
-0.729219,-0.120866
-0.727266,-0.0471139
-0.725313,0.114197
-0.723359,0.0495382
-0.721406,-0.136357
-0.719453,-0.0568801
-0.7175,0.126658
-0.715547,0.0485279
-0.713594,-0.114804
-0.711641,-0.0434094
-0.709688,0.116891
-0.707734,0.0458337
-0.705781,-0.155553
-0.703828,-0.0430727
-0.701875,0.119586
-0.699922,0.0138409
-0.697969,-0.126254
-0.696016,-0.0430727
-0.694063,0.131709
-0.692109,0.0421293
-0.690156,-0.103354
-0.688203,-0.054186
-0.68625,0.132046
-0.684297,0.0333734
-0.682344,-0.119519
-0.680391,-0.0477874
-0.678438,0.114871
-0.676484,0.0495382
-0.674531,-0.144439
-0.672578,-0.0420624
-0.670625,0.125311
-0.668672,0.045497
-0.666719,-0.144103
-0.664766,-0.0457668
-0.662813,0.118912
-0.660859,0.051222
-0.658906,-0.142082
-0.656953,-0.0444197
-0.655,0.120933
-0.653047,0.0535794
-0.651094,-0.106048
-0.649141,-0.0471139
-0.647188,0.128678
-0.645234,0.0377513
-0.643281,-0.120866
-0.641328,-0.0430727
-0.639375,0.112514
-0.637422,0.0448234
-0.635469,-0.126254
-0.633516,-0.0548595
-0.631563,0.119249
-0.629609,0.0343837
-0.627656,-0.136694
-0.625703,-0.0484609
-0.62375,0.130362
-0.621797,0.0343837
-0.619844,-0.125917
-0.617891,-0.0423991
-0.615938,0.150905
-0.613984,0.0417925
-0.612031,-0.123897
-0.610078,-0.0376844
-0.608125,0.13575
-0.606172,0.0424661
-0.604219,-0.11312
-0.602266,-0.035327
-0.600313,0.136087
-0.598359,0.0384249
-0.596406,-0.122886
-0.594453,-0.0366741
-0.5925,0.120933
-0.590547,0.0421293
-0.588594,-0.12356
-0.586641,-0.0417256
-0.584688,0.115544
-0.582734,0.0370778
-0.580781,-0.121876
-0.578828,-0.0403785
-0.576875,0.118912
-0.574922,0.0293322
-0.572969,-0.12255
-0.571016,-0.0477874
-0.569063,0.0909604
-0.567109,0.0515588
-0.565156,-0.130632
-0.563203,-0.0484609
-0.56125,0.142486
-0.559297,0.0323631
-0.557344,-0.121203
-0.555391,-0.0376844
-0.553438,0.107125
-0.551484,0.0485279
-0.549531,-0.121203
-0.547578,-0.0393682
-0.545625,0.125647
-0.543672,0.0269748
-0.541719,-0.119519
-0.539766,-0.0221931
-0.537813,0.111503
-0.535859,0.0441499
-0.533906,-0.121203
-0.531953,-0.0302755
-0.53,0.120259
-0.528047,0.0384249
-0.526094,-0.129958
-0.524141,-0.0393682
-0.522188,0.121606
-0.520234,0.0239439
-0.518281,-0.132316
-0.516328,-0.035327
-0.514375,0.114871
-0.512422,0.020913
-0.510469,-0.115141
-0.508516,-0.0356638
-0.506563,0.121606
-0.504609,0.0161983
-0.502656,-0.127264
-0.500703,-0.0221931
-0.49875,0.127331
-0.496797,0.0313528
-0.494844,-0.12356
-0.492891,-0.025224
-0.490938,0.121269
-0.488984,0.0340469
-0.487031,-0.120866
-0.485078,-0.0265711
-0.483125,0.122617
-0.481172,0.0397719
-0.479219,-0.118845
-0.477266,-0.0198358
-0.475313,0.0993796
-0.473359,0.0236071
-0.471406,-0.114467
-0.469453,-0.0282549
-0.4675,0.131372
-0.465547,0.0370778
-0.463594,-0.120192
-0.461641,-0.0373476
-0.459688,0.117902
-0.457734,0.0202395
-0.455781,-0.124907
-0.453828,-0.0309491
-0.451875,0.101063
-0.449922,0.0313528
-0.447969,-0.112783
-0.446016,-0.0319594
-0.444063,0.110493
-0.442109,0.0417925
-0.440156,-0.094598
-0.438203,-0.0373476
-0.43625,0.114534
-0.434297,0.0131674
-0.432344,-0.126591
-0.430391,-0.0265711
-0.428438,0.107125
-0.426484,0.0269748
-0.424531,-0.115477
-0.422578,-0.0450933
-0.420625,0.113524
-0.418672,0.0259645
-0.416719,-0.120866
-0.414766,-0.0164681
-0.412813,0.121269
-0.410859,0.0168718
-0.408906,-0.116151
-0.406953,-0.0198358
-0.405,0.121943
-0.403047,0.00508496
-0.401094,-0.121203
-0.399141,-0.0322961
-0.397188,0.114871
-0.395234,-0.00602834
-0.393281,-0.109416
-0.391328,-0.0306123
-0.389375,0.111503
-0.387422,0.0124938
-0.385469,-0.120192
-0.383516,-0.0245505
-0.381563,0.111503
-0.379609,0.00474819
-0.377656,-0.135347
-0.375703,-0.0144475
-0.37375,0.107462
-0.371797,0.0350572
-0.369844,-0.1111
-0.367891,-0.0171416
-0.365938,0.121943
-0.363984,0.00878939
-0.362031,-0.112783
-0.360078,-0.0262343
-0.358125,0.11184
-0.356172,0.0118203
-0.354219,-0.105038
-0.352266,-0.0205093
-0.350313,0.0909604
-0.348359,0.0114835
-0.346406,-0.116151
-0.344453,-0.0235402
-0.3425,0.106788
-0.340547,0.0225968
-0.338594,-0.112783
-0.336641,-0.0235402
-0.334688,0.107799
-0.332734,0.0131674
-0.330781,-0.100997
-0.328828,-0.00905924
-0.326875,0.150905
-0.324922,0.0185556
-0.322969,-0.116151
-0.321016,-0.00973277
-0.319063,0.0993796
-0.317109,0.0256277
-0.315156,-0.1111
-0.313203,-0.00872247
-0.31125,0.0923075
-0.309297,0.0205762
-0.307344,-0.115141
-0.305391,-0.0117534
-0.303438,0.1014
-0.301484,0.00710556
-0.299531,-0.11312
-0.297578,-0.00804894
-0.295625,0.104768
-0.293672,0.0155247
-0.291719,-0.112447
-0.289766,-0.00670187
-0.287813,0.104431
-0.285859,-0.00569157
-0.283906,-0.111773
-0.281953,-0.0178152
